,words,count
685,older,11
686,account,11
687,follow,11
688,dhakxjahc,11
689,gc,11
690,chess,11
691,report,11
692,extra,11
693,affect,11
694,idt,11
695,pass,11
696,nerdy,11
697,(i,11
698,somewhat,11
699,dawn,11
700,boy,11
701,dress,11
702,hop,11
703,u're,11
704,...,11
705,yum,11
706,🥺,11
707,fjakcjaj,11
708,oki,11
709,listen,11
710,become,11
711,wud,11
712,lit,11
713,water,11
714,hahaha,11
715,lazy,11
716,peace,11
717,sleeping,11
718,ba,11
719,besties,11
720,mc,11
721,rain,11
722,deserve,11
723,mcat,11
724,didn’t,11
725,bought,11
726,terrible,11
727,she’s,11
728,computer,11
729,server,11
730,hao,11
731,worked,11
732,months,11
733,karaoke,11
734,baby,11
735,four,11
736,comfortable,11
737,sem,11
738,treat,11
739,area,10
740,middle,10
741,common,10
742,yeh,10
743,option,10
744,giving,10
745,hkust,10
746,electronics,10
747,expensive,10
748,general,10
749,major,10
750,walking,10
751,seem,10
752,outside,10
753,they'll,10
754,lord,10
755,chill,10
756,sch,10
757,dare,10
758,throw,10
759,wash,10
760,taken,10
761,interested,10
762,notes,10
763,tis,10
764,seriously,10
765,goddamn,10
766,awkward,10
767,putting,10
768,eyes,10
769,emotionally,10
770,laptop,10
771,whatsapp,10
772,haiyah,10
773,woke,10
774,fall,10
775,hobbies,10
776,factor,10
777,cursed,10
778,growth,10
779,learning,10
780,fish,10
781,voice,10
782,tree,10
783,strong,10
784,emotional,10
785,questions,10
786,rest,10
787,?,10
788,texted,10
789,you!,10
790,convo,10
791,ugh,10
792,moving,10
793,stuck,10
794,v,10
795,bless,10
796,hand,10
797,👉👈,10
798,building,10
799,m+,10
800,broke,10
801,singapore,10
802,seeing,10
803,door,10
804,proud,10
805,wearing,10
806,difficult,10
807,nervous,10
808,gave,10
809,played,10
810,serena,10
811,ooh,10
812,personal,10
813,comp,10
814,capybara,10
815,circuits,10
816,deadline,10
817,helper,10
818,ansh,10
819,heartless,10
820,unis,9
821,exams,9
822,6,9
823,near,9
824,living,9
825,whether,9
826,cold,9
827,studies,9
828,asian,9
829,ubc,9
830,based,9
831,lolol,9
832,note,9
833,relevant,9
834,given,9
835,neither,9
836,saturday,9
837,100,9
838,seems,9
839,stg,9
840,happening,9
841,/s,9
842,raccoon,9
843,he'll,9
844,linkedin,9
845,besides,9
846,planning,9
847,shows,9
848,9am,9
849,game,9
850,kept,9
851,happen,9
852,worried,9
853,irl,9
854,shy/introverted,9
855,"gentle,",9
856,humour,9
857,moment,9
858,stand,9
859,improve,9
860,goal,9
861,reliable,9
862,hug,9
863,example,9
864,yuh,9
865,revise,9
866,brain,9
867,:(,9
868,tf,9
869,🤡,9
870,sick,9
871,mentioned,9
872,sending,9
873,presentation,9
874,potato,9
875,sit,9
876,g,9
877,playing,9
878,okur,9
879,lets,9
880,starbucks,9
881,worst,9
882,'i,9
883,dream,9
884,calling,9
885,build,9
886,havent,9
887,ciao,9
888,semester,9
889,wrote,9
890,elec,9
891,joke,9
892,cri,9
893,i’ve,9
894,can’t,9
895,minute,9
896,monitor,9
897,glad,9
898,accept,9
899,l,9
900,lost,9
901,mouse,9
902,wish,9
903,earrings,9
904,paying,9
905,zone,9
906,park,9
907,insane,9
908,paid,9
909,suit,9
910,decision,9
911,ethan,9
912,lego,9
913,dislike,8
914,compared,8
915,form,8
916,cba,8
917,uhhh,8
918,wall,8
919,sis,8
920,....,8
921,students,8
922,black,8
923,gosh,8
924,ikr,8
925,uncomfortable,8
926,personality,8
927,trash,8
928,goodbye,8
929,scary,8
930,liked,8
931,focus,8
932,texts,8
933,touch,8
934,pinned,8
935,pin,8
936,mess,8
937,delete,8
938,tried,8
939,grab,8
940,using,8
941,agree,8
942,cancelled,8
943,waiting,8
944,excited,8
945,refuse,8
946,women,8
947,mmmm,8
948,criteria,8
949,leaving,8
950,(e.g.,8
951,constantly,8
952,determined,8
953,issue,8
954,battery,8
955,potential,8
956,dummy,8
957,future,8
958,step,8
959,lil,8
960,independent,8
961,oops,8
962,yep,8
963,couple,8
964,dumb,8
965,approve,8
966,??,8
967,detail,8
968,b,8
969,slash,8
970,expectations,8
971,somehow,8
972,compliment,8
973,boi,8
974,sb,8
975,experience,8
976,cried,8
977,beleaf,8
978,8,8
979,single,8
980,horse,8
981,keeps,8
982,fast,8
983,absolutely,8
984,minecraft,8
985,spam,8
986,vn,8
987,finished,8
988,health,8
989,yus,8
990,word,8
991,hindi,8
992,horrible,8
993,fav,8
994,grown,8
995,ced,8
996,hs,8
997,messages,8
998,however,8
999,texting,8
1000,idfk,8
1001,alive,8
1002,free,8
1003,options,8
1004,friendships,8
1005,plans,8
1006,nom,8
1007,perhaps,8
1008,hormones,8
1009,crazy,8
1010,chocolate,8
1011,ai,8
1012,msgs,8
1013,eczema,8
1014,manipulation,8
1015,canadian,7
1016,abit,7
1017,hated,7
1018,science,7
1019,poor,7
1020,barely,7
1021,cheaper,7
1022,=,7
1023,ngl,7
1024,heart,7
1025,term,7
1026,ync,7
1027,befriend,7
1028,weapon,7
1029,important,7
1030,physics,7
1031,replied,7
1032,twice,7
1033,elizabeth,7
1034,hygiene,7
1035,imean,7
1036,shirt,7
1037,unfortunately,7
1038,bitches,7
1039,standards,7
1040,warning,7
1041,explain,7
1042,behind,7
1043,terrifying,7
1044,attracted,7
1045,listening,7
1046,tiktok,7
1047,😔,7
1048,frikking,7
1049,added,7
1050,post,7
1051,apologies,7
1052,1.,7
1053,2.,7
1054,swipe,7
1055,hit,7
1056,smiles,7
1057,smiley,7
1058,boys),7
1059,par,7
1060,"idk,",7
1061,genuine,7
1062,ideal,7
1063,independence,7
1064,discuss,7
1065,hold,7
1066,hopefully,7
1067,gives,7
1068,app,7
1069,goals,7
1070,slowly,7
1071,si,7
1072,illegal,7
1073,👍,7
1074,front,7
1075,actl,7
1076,score,7
1077,inside,7
1078,apparently,7
1079,yh,7
1080,pressure,7
1081,ded,7
1082,win,7
1083,helpful,7
1084,valid,7
1085,gnite,7
1086,anxious,7
1087,holiday,7
1088,p,7
1089,cousin,7
1090,30,7
1091,stem,7
1092,fully,7
1093,ends,7
1094,hw,7
1095,clue,7
1096,colour,7
1097,forced,7
1098,iirc,7
1099,clear,7
1100,google,7
1101,choose,7
1102,normally,7
1103,fcking,7
1104,❤️,7
1105,introvert,7
1106,corner,7
1107,case,7
1108,depends,7
1109,validating,7
1110,grades,7
1111,cut,7
1112,soul,7
1113,hagit,7
1114,version,7
1115,reminds,7
1116,huge,7
1117,waht,7
1118,submit,7
1119,english,7
1120,character,7
1121,7,7
1122,tok,7
1123,line,7
1124,married,7
1125,picnic,7
1126,jfc,7
1127,sir,7
1128,multiple,7
1129,woman,7
1130,aww,7
1131,safety,7
1132,suck,7
1133,control,7
1134,simran,7
1135,zakk,7
1136,favourite,7
1137,noticed,7
1138,makeup,7
1139,restaurant,7
1140,code,7
1141,role,7
1142,weekend,7
1143,turn,7
1144,monday,7
1145,cafe,7
1146,places,7
1147,continue,7
1148,sound,7
1149,beige,7
1150,consider,7
1151,sheet,7
1152,exchange,7
1153,released,7
1154,hangout,7
1155,training,7
1156,wore,7
1157,diff,7
1158,argument,7
1159,stopped,7
1160,thursday,7
1161,ipad,7
1162,conflict,7
1163,escape,7
1164,litearlly,7
1165,dear,7
1166,waterloo,6
1167,career,6
1168,loads,6
1169,direct,6
1170,hr,6
1171,walk,6
1172,easier,6
1173,advice,6
1174,currently,6
1175,degree,6
1176,1st,6
1177,asks,6
1178,jobs,6
1179,feels,6
1180,numbers,6
1181,screenshot,6
1182,per,6
1183,law,6
1184,schools,6
1185,running,6
1186,boys,6
1187,everyday,6
1188,lecture,6
1189,public,6
1190,wonder,6
1191,contact,6
1192,hkd,6
1193,floor,6
1194,energy,6
1195,younger,6
1196,lots,6
1197,bumble,6
1198,story,6
1199,😤,6
1200,yahh,6
1201,hai,6
1202,flags,6
1203,dying,6
1204,mode,6
1205,dun,6
1206,bae,6
1207,replying,6
1208,nyeh,6
1209,month,6
1210,dis,6
1211,depressing,6
1212,🥲,6
1213,asleep,6
1214,officially,6
1215,babe,6
1216,reject,6
1217,wont,6
1218,mindset,6
1219,extremely,6
1220,"bouldering,",6
1221,"cycling,",6
1222,hiking,6
1223,meeee,6
1224,(but,6
1225,criteria),6
1226,out),6
1227,create,6
1228,themselves...,6
1229,service,6
1230,"out,",6
1231,smells,6
1232,cuddly,6
1233,earth,6
1234,(or,6
1235,classes,6
1236,within,6
1237,hm,6
1238,picking,6
1239,sharing,6
1240,"it,",6
1241,loved,6
1242,towards,6
1243,2020,6
1244,assuming,6
1245,body,6
1246,screenshots,6
1247,ahxkajx,6
1248,holy,6
1249,ain't,6
1250,afraid,6
1251,posted,6
1252,reel,6
1253,sigh,6
1254,coping,6
1255,situation,6
1256,deep,6
1257,block,6
1258,six,6
1259,loud,6
1260,india,6
1261,office,6
1262,exist,6
1263,white,6
1264,onto,6
1265,showed,6
1266,schedule,6
1267,share,6
1268,seat,6
1269,frfr,6
1270,laundry,6
1271,power,6
1272,farm,6
1273,ying,6
1274,interview,6
1275,table,6
1276,dk,6
1277,fell,6
1278,world,6
1279,struggling,6
1280,scope,6
1281,easter,6
1282,ull,6
1283,you’re,6
1284,notice,6
1285,mr,6
1286,picked,6
1287,ooo,6
1288,chop,6
1289,appointment,6
1290,chose,6
1291,upset,6
1292,fix,6
1293,electrical,6
